,id,name,nameWithOwner,stargazers.totalCount
0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp,freeCodeCamp/freeCodeCamp,343556
1,MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996.ICU,996icu/996.ICU,261652
2,MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,free-programming-books,EbookFoundation/free-programming-books,229721
3,MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,awesome,sindresorhus/awesome,196061
4,MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vue,vuejs/vue,194710
5,MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis,public-apis/public-apis,187783
6,MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,react,facebook/react,185867
7,MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,tensorflow,tensorflow/tensorflow,164059
8,MDEwOlJlcG9zaXRvcnkyMTI2MjQ0,bootstrap,twbs/bootstrap,156279
9,MDEwOlJlcG9zaXRvcnkyOTExMzc=,ohmyzsh,ohmyzsh/ohmyzsh,143199
10,MDEwOlJlcG9zaXRvcnkzMTc5MjgyNA==,flutter,flutter/flutter,138664
11,MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,Python,TheAlgorithms/Python,134112
12,MDEwOlJlcG9zaXRvcnkxMDYyODk3,gitignore,github/gitignore,131470
13,MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==,vscode,microsoft/vscode,129810
14,MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,awesome-python,vinta/awesome-python,122390
15,MDEwOlJlcG9zaXRvcnk2NDk4NDky,javascript,airbnb/javascript,121737
16,MDEwOlJlcG9zaXRvcnkxMDM5NTIw,youtube-dl,ytdl-org/youtube-dl,108303
17,MDEwOlJlcG9zaXRvcnkyOTAyODc3NQ==,react-native,facebook/react-native,101996
18,MDEwOlJlcG9zaXRvcnk5Mzg0MjY3,electron,electron/electron,101171
19,MDEwOlJlcG9zaXRvcnk5NDMxNDk=,d3,d3/d3,100848
20,MDEwOlJlcG9zaXRvcnkyMzA5Njk1OQ==,go,golang/go,97458
21,MDEwOlJlcG9zaXRvcnk2MzUzNzI0OQ==,create-react-app,facebook/create-react-app,94311
22,MDEwOlJlcG9zaXRvcnkxMTI1MDcwODY=,30-seconds-of-code,30-seconds/30-seconds-of-code,93737
23,MDEwOlJlcG9zaXRvcnkyMDU4MDQ5OA==,kubernetes,kubernetes/kubernetes,87134
24,MDEwOlJlcG9zaXRvcnkyNzE5Mzc3OQ==,node,nodejs/node,86681
25,MDEwOlJlcG9zaXRvcnk3MDEwNzc4Ng==,next.js,vercel/next.js,84305
26,MDEwOlJlcG9zaXRvcnkzNjYzMzM3MA==,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,83956
27,MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,terminal,microsoft/terminal,82139
28,MDEwOlJlcG9zaXRvcnkxMzM0NDIzODQ=,deno,denoland/deno,81426
29,MDEwOlJlcG9zaXRvcnk1NzYyMDE=,three.js,mrdoob/three.js,80766
30,MDEwOlJlcG9zaXRvcnkyNDE5NTMzOQ==,angular,angular/angular,80601
31,MDEwOlJlcG9zaXRvcnkyMDkyOTAyNQ==,TypeScript,microsoft/TypeScript,79477
32,MDEwOlJlcG9zaXRvcnkzNDUyNjg4NA==,ant-design,ant-design/ant-design,79211
33,MDEwOlJlcG9zaXRvcnkyMTU0MDc1OQ==,awesome-go,avelino/awesome-go,78260
34,MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==,material-ui,mui/material-ui,77226
35,MDEwOlJlcG9zaXRvcnk5MDc5NjY2Mw==,puppeteer,puppeteer/puppeteer,77157
36,MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,java-design-patterns,iluwatar/java-design-patterns,74164
37,MDEwOlJlcG9zaXRvcnk1MTExNzgzNw==,models,tensorflow/models,73230
38,MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,PowerToys,microsoft/PowerToys,71055
39,MDEwOlJlcG9zaXRvcnk1NDE3MzU5Mw==,storybook,storybookjs/storybook,69963
40,MDEwOlJlcG9zaXRvcnkxODYzMzI5,laravel,laravel/laravel,69271
41,MDEwOlJlcG9zaXRvcnk3MjQ3MTI=,rust,rust-lang/rust,65276
42,MDEwOlJlcG9zaXRvcnk0NDU3MTcxOA==,awesome-vue,vuejs/awesome-vue,64555
43,MDEwOlJlcG9zaXRvcnk0MTY0NDgy,django,django/django,63296
44,MDEwOlJlcG9zaXRvcnkxMTgxOTI3,bitcoin,bitcoin/bitcoin,63037
45,MDEwOlJlcG9zaXRvcnk3NjkxNjMx,moby,moby/moby,62707
46,MDEwOlJlcG9zaXRvcnkzNjc4NzMx,webpack,webpack/webpack,60785
47,MDEwOlJlcG9zaXRvcnk1MTA4MDUx,opencv,opencv/opencv,60743
48,MDEwOlJlcG9zaXRvcnkxNTUyMjA2NDE=,transformers,huggingface/transformers,60569
49,MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,spring-boot,spring-projects/spring-boot,60477
50,MDEwOlJlcG9zaXRvcnk0NjAwNzg=,angular.js,angular/angular.js,59502
51,MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==,swift,apple/swift,59191
52,MDEwOlJlcG9zaXRvcnk1MDc3NzU=,elasticsearch,elastic/elasticsearch,59099
53,MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==,netdata,netdata/netdata,58703
54,MDEwOlJlcG9zaXRvcnk1OTY4OTI=,flask,pallets/flask,58489
55,MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==,hugo,gohugoio/hugo,58111
56,MDEwOlJlcG9zaXRvcnkzNjUzNTE1Ng==,redux,reduxjs/redux,57809
57,MDEwOlJlcG9zaXRvcnk3NDI5MzMyMQ==,svelte,sveltejs/svelte,57219
58,MDEwOlJlcG9zaXRvcnkzMjI4NTA1,atom,atom/atom,57146
