,id,name,nameWithOwner,stargazers.totalCount
0,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp,freeCodeCamp/freeCodeCamp,343826
1,MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996.ICU,996icu/996.ICU,261721
2,MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,free-programming-books,EbookFoundation/free-programming-books,230507
3,MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,coding-interview-university,jwasham/coding-interview-university,217078
4,MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,awesome,sindresorhus/awesome,196862
5,MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vue,vuejs/vue,194911
6,MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,developer-roadmap,kamranahmedse/developer-roadmap,191679
7,MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis,public-apis/public-apis,189251
8,MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,react,facebook/react,186257
9,MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,system-design-primer,donnemartin/system-design-primer,172991
10,MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,tensorflow,tensorflow/tensorflow,164205
11,MDEwOlJlcG9zaXRvcnkyMTI2MjQ0,bootstrap,twbs/bootstrap,156420
12,MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==,You-Dont-Know-JS,getify/You-Dont-Know-JS,151887
13,MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=,CS-Notes,CyC2018/CS-Notes,149313
14,MDEwOlJlcG9zaXRvcnkyOTExMzc=,ohmyzsh,ohmyzsh/ohmyzsh,143577
15,MDEwOlJlcG9zaXRvcnkzMTc5MjgyNA==,flutter,flutter/flutter,138874
16,MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,javascript-algorithms,trekhleb/javascript-algorithms,138847
17,MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,build-your-own-x,danistefanovic/build-your-own-x,138500
18,MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,Python,TheAlgorithms/Python,134502
19,MDEwOlJlcG9zaXRvcnkxMDYyODk3,gitignore,github/gitignore,131778
20,MDEwOlJlcG9zaXRvcnkyMzI1Mjk4,linux,torvalds/linux,130153
21,MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==,vscode,microsoft/vscode,130107
22,MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,awesome-python,vinta/awesome-python,123362
23,MDEwOlJlcG9zaXRvcnk2NDk4NDky,javascript,airbnb/javascript,121930
24,MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=,JavaGuide,Snailclimb/JavaGuide,120116
25,MDEwOlJlcG9zaXRvcnkxMjM0NTg1NTE=,Python-100-Days,jackfrued/Python-100-Days,117107
26,MDEwOlJlcG9zaXRvcnkxOTQxNTA2NA==,computer-science,ossu/computer-science,111471
27,MDEwOlJlcG9zaXRvcnkxMDM5NTIw,youtube-dl,ytdl-org/youtube-dl,108519
28,MDEwOlJlcG9zaXRvcnkzNTk1NTY2Ng==,the-art-of-command-line,jlevy/the-art-of-command-line,104975
